schema_version,width,seed,candidate_count,target_unique,random_expected_regret,catalog_best_target,catalog_worst_target,correctly_rounded_bits,score_static_index,score_static_family,score_static_target,score_static_abs_error_ulp,score_static_correct_hit,score_static_output_bits,score_static_regret,score_static_best_hit,q_static_index,q_static_family,q_static_target,q_static_abs_error_ulp,q_static_correct_hit,q_static_output_bits,q_static_regret,q_static_best_hit,oracle_static_index,oracle_static_family,oracle_static_target,oracle_static_abs_error_ulp,oracle_static_correct_hit,oracle_static_output_bits,oracle_static_regret,oracle_static_best_hit,representative_1_index,representative_1_family,representative_1_target,representative_1_abs_error_ulp,representative_1_correct_hit,representative_1_output_bits,representative_1_regret,representative_1_best_hit,per_input_beam_index,per_input_beam_family,per_input_beam_target,per_input_beam_abs_error_ulp,per_input_beam_correct_hit,per_input_beam_output_bits,per_input_beam_regret,per_input_beam_best_hit,per_input_q_index,per_input_q_family,per_input_q_target,per_input_q_abs_error_ulp,per_input_q_correct_hit,per_input_q_output_bits,per_input_q_regret,per_input_q_best_hit,score_static_r1_index,score_static_r1_regret,score_static_r2_index,score_static_r2_regret,score_static_r4_index,score_static_r4_regret,score_static_r8_index,score_static_r8_regret,score_static_r16_index,score_static_r16_regret,score_static_r32_index,score_static_r32_regret,balanced_fp32_target,balanced_fp32_abs_error_ulp,balanced_fp32_correct_hit,balanced_fp32_output_bits,sequential_fp32_target,sequential_fp32_abs_error_ulp,sequential_fp32_correct_hit,sequential_fp32_output_bits,fp64_then_fp32_target,fp64_then_fp32_abs_error_ulp,fp64_then_fp32_correct_hit,fp64_then_fp32_output_bits,kahan_fp32_target,kahan_fp32_abs_error_ulp,kahan_fp32_correct_hit,kahan_fp32_output_bits,input_group_id
1,256,495485783,64,4,0.046875,0.0001943821451159111,4.055962781098776,0x43b39c6c,34,contiguous,0.0001943821451159111,0.013942099738414981,1,1135844460,0.0,1,34,contiguous,0.0001943821451159111,0.013942099738414981,1,1135844460,0.0,1,46,contiguous,0.0001943821451159111,0.013942099738414981,1,1135844460,0.0,1,13,pair_merge,0.0001943821451159111,0.013942099738414981,1,1135844460,0.0,1,57,pair_merge,0.0001943821451159111,0.013942099738414981,1,1135844460,0.0,1,57,pair_merge,0.0001943821451159111,0.013942099738414981,1,1135844460,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,0.0,0.972310182668286,0.986057900261585,0,1135844461,16.111731180052434,4.013942099738415,0,1135844456,0.0001943821451159111,0.013942099738414981,1,1135844460,0.0001943821451159111,0.013942099738414981,1,1135844460,wr256_reuse_confirm_g010
1,256,1045285748,64,3,0.33628534332701765,0.01384900335307284,1.2492125804254215,0x43e02571,34,contiguous,0.7784854262807243,0.8823182114638257,0,1138763122,0.6189565866428899,0,34,contiguous,0.7784854262807243,0.8823182114638257,0,1138763122,0.6189565866428899,0,46,contiguous,0.7784854262807243,0.8823182114638257,0,1138763122,0.6189565866428899,0,13,pair_merge,0.01384900335307284,0.11768178853617428,1,1138763121,0.0,1,17,pair_merge,0.01384900335307284,0.11768178853617428,1,1138763121,0.0,1,9,pair_merge,0.7784854262807243,0.8823182114638257,0,1138763122,0.6189565866428899,0,13,0.0,13,0.0,6,0.6189565866428899,6,0.6189565866428899,26,0.0,34,0.6189565866428899,0.7784854262807243,0.8823182114638257,0,1138763122,37.426030465787164,6.117681788536174,0,1138763115,0.01384900335307284,0.11768178853617428,1,1138763121,0.01384900335307284,0.11768178853617428,1,1138763121,wr256_reuse_confirm_g011
1,256,1434418890,64,3,0.2544691141019552,0.08041521452371858,1.6475667446238094,0x43e5ea4d,34,contiguous,0.5132636844236277,0.7164242349499546,0,1139141196,0.2762007767508378,0,34,contiguous,0.5132636844236277,0.7164242349499546,0,1139141196,0.2762007767508378,0,46,contiguous,0.08041521452371858,0.28357576505004545,1,1139141197,0.0,1,13,pair_merge,0.08041521452371858,0.28357576505004545,1,1139141197,0.0,1,9,pair_merge,0.5132636844236277,0.7164242349499546,0,1139141196,0.2762007767508378,0,41,pair_merge,0.5132636844236277,0.7164242349499546,0,1139141196,0.2762007767508378,0,13,0.0,13,0.0,6,0.0,6,0.0,26,0.2762007767508378,34,0.2762007767508378,0.5132636844236277,0.7164242349499546,0,1139141196,7.378960624223446,2.7164242349499546,0,1139141194,0.08041521452371858,0.28357576505004545,1,1139141197,0.08041521452371858,0.28357576505004545,1,1139141197,wr256_reuse_confirm_g012
1,256,1501911371,64,3,0.09441788365760592,0.009495770211786183,1.2043882555649796,0x439c96d4,34,contiguous,0.009495770211786183,0.09744624267659674,1,1134335700,0.0,1,34,contiguous,0.009495770211786183,0.09744624267659674,1,1134335700,0.0,1,46,contiguous,0.009495770211786183,0.09744624267659674,1,1134335700,0.0,1,13,pair_merge,0.009495770211786183,0.09744624267659674,1,1134335700,0.0,1,50,contiguous,0.009495770211786183,0.09744624267659674,1,1134335700,0.0,1,50,contiguous,0.009495770211786183,0.09744624267659674,1,1134335700,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,0.0,0.009495770211786183,0.09744624267659674,1,1134335700,0.009495770211786183,0.09744624267659674,1,1134335700,0.009495770211786183,0.09744624267659674,1,1134335700,0.009495770211786183,0.09744624267659674,1,1134335700,wr256_reuse_confirm_g013
1,256,1570286652,64,3,0.0860948427500136,0.1272996042611098,1.8408810060958545,0x43b639a2,34,contiguous,0.1272996042611098,0.3567907009173723,1,1136015778,0.0,1,34,contiguous,0.1272996042611098,0.3567907009173723,1,1136015778,0.0,1,46,contiguous,0.1272996042611098,0.3567907009173723,1,1136015778,0.0,1,13,pair_merge,0.1272996042611098,0.3567907009173723,1,1136015778,0.0,1,33,pair_merge,0.1272996042611098,0.3567907009173723,1,1136015778,0.0,1,54,contiguous,0.4137182024263652,0.6432092990826277,0,1136015777,0.16714618742861287,0,13,0.0,13,0.0,6,0.0,6,0.0,26,0.16714618742861287,34,0.0,0.1272996042611098,0.3567907009173723,1,1136015778,31.845811193252644,5.643209299082628,0,1136015772,0.1272996042611098,0.3567907009173723,1,1136015778,0.1272996042611098,0.3567907009173723,1,1136015778,wr256_reuse_confirm_g014
1,256,40937623,64,2,0.3125,0.18073326224132683,0.33047856571486406,0x439a7e40,34,contiguous,0.33047856571486406,0.5748726517367686,0,1134198337,1.0,0,34,contiguous,0.33047856571486406,0.5748726517367686,0,1134198337,1.0,0,46,contiguous,0.33047856571486406,0.5748726517367686,0,1134198337,1.0,0,13,pair_merge,0.18073326224132683,0.4251273482632314,1,1134198336,0.0,1,57,pair_merge,0.18073326224132683,0.4251273482632314,1,1134198336,0.0,1,41,pair_merge,0.18073326224132683,0.4251273482632314,1,1134198336,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,1.0,0.18073326224132683,0.4251273482632314,1,1134198336,11.731497351820716,3.4251273482632314,0,1134198333,0.18073326224132683,0.4251273482632314,1,1134198336,0.18073326224132683,0.4251273482632314,1,1134198336,wr256_reuse_confirm_g015
1,256,41007871,64,3,0.45904125400222723,0.0006268758905016603,1.0507018552914624,0x43a60d59,34,contiguous,1.0507018552914624,1.0250374897004804,0,1134955866,1.0,0,34,contiguous,1.0507018552914624,1.0250374897004804,0,1134955866,1.0,0,46,contiguous,0.0006268758905016603,0.025037489700480364,1,1134955865,0.0,1,13,pair_merge,0.950551896489541,0.9749625102995196,0,1134955864,0.9046258974201496,0,11,pair_merge,0.0006268758905016603,0.025037489700480364,1,1134955865,0.0,1,13,pair_merge,0.950551896489541,0.9749625102995196,0,1134955864,0.9046258974201496,0,13,0.9046258974201496,13,0.9046258974201496,6,0.0,6,0.0,26,1.0,34,1.0,0.0006268758905016603,0.025037489700480364,1,1134955865,1.0507018552914624,1.0250374897004804,0,1134955866,0.0006268758905016603,0.025037489700480364,1,1134955865,0.0006268758905016603,0.025037489700480364,1,1134955865,wr256_reuse_confirm_g016
1,256,1716812604,64,3,0.029645212418220053,0.1818885696485165,2.4759527225615683,0x43ad3d38,34,contiguous,0.1818885696485165,0.4264839617717371,1,1135426872,0.0,1,34,contiguous,0.1818885696485165,0.4264839617717371,1,1135426872,0.0,1,46,contiguous,0.1818885696485165,0.4264839617717371,1,1135426872,0.0,1,13,pair_merge,0.1818885696485165,0.4264839617717371,1,1135426872,0.0,1,24,contiguous,0.32892064610504235,0.5735160382282629,0,1135426873,0.06409239962614881,0,41,pair_merge,0.1818885696485165,0.4264839617717371,1,1135426872,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,0.0,0.32892064610504235,0.5735160382282629,0,1135426873,71.00563195799631,8.426483961771737,0,1135426864,0.1818885696485165,0.4264839617717371,1,1135426872,0.1818885696485165,0.4264839617717371,1,1135426872,wr256_reuse_confirm_g017
1,256,1474507537,64,4,0.06509614191937449,0.0630782241782925,3.0584630805274116,0x43ccf06c,34,contiguous,0.0630782241782925,0.2511537859127202,1,1137504364,0.0,1,34,contiguous,0.0630782241782925,0.2511537859127202,1,1137504364,0.0,1,46,contiguous,0.0630782241782925,0.2511537859127202,1,1137504364,0.0,1,13,pair_merge,0.0630782241782925,0.2511537859127202,1,1137504364,0.0,1,13,pair_merge,0.0630782241782925,0.2511537859127202,1,1137504364,0.0,1,34,contiguous,0.0630782241782925,0.2511537859127202,1,1137504364,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.16615308283996758,34,0.0,0.0630782241782925,0.2511537859127202,1,1137504364,0.0630782241782925,0.2511537859127202,1,1137504364,0.0630782241782925,0.2511537859127202,1,1137504364,0.0630782241782925,0.2511537859127202,1,1137504364,wr256_reuse_confirm_g018
1,256,1235362570,64,4,0.054737323341696904,0.14037586127300827,2.6417051901887527,0x43a0e368,34,contiguous,0.14037586127300827,0.37466766777106386,1,1134617448,0.0,1,34,contiguous,0.14037586127300827,0.37466766777106386,1,1134617448,0.0,1,46,contiguous,0.14037586127300827,0.37466766777106386,1,1134617448,0.0,1,13,pair_merge,0.14037586127300827,0.37466766777106386,1,1134617448,0.0,1,40,contiguous,0.14037586127300827,0.37466766777106386,1,1134617448,0.0,1,40,contiguous,0.14037586127300827,0.37466766777106386,1,1134617448,0.0,1,13,0.0,13,0.0,6,0.0,6,0.0,26,0.0,34,0.0,0.14037586127300827,0.37466766777106386,1,1134617448,0.14037586127300827,0.37466766777106386,1,1134617448,0.14037586127300827,0.37466766777106386,1,1134617448,0.14037586127300827,0.37466766777106386,1,1134617448,wr256_reuse_confirm_g019
