method,theoretical_order,k,h_coarse,h_fine,approximation,true_error,p_true,p_observed,estimated_error,richardson,richardson_true_error,status
central_naive,2,5,0.03125,0.0078125,1.00001017255709,1.0172557090015744e-05,2.000013207587384,2.0000660411699513,1.0172060394984766e-05,1.000000000496695,4.966949074258764e-10,ok
central_stable,2,5,0.03125,0.0078125,1.0000101725570858,1.0172557085796896e-05,2.000013208264437,2.00006604083143,1.017206040031345e-05,1.0000000004966854,4.966853595078646e-10,ok
forward_naive,1,6,0.015625,0.00390625,1.001955670616951,0.0019556706169510107,1.0018803444159208,1.0056410309141752,0.0019455277465600781,1.0000101428703911,1.0142870391138814e-05,ok
forward_stable,1,6,0.015625,0.00390625,1.0019556706169788,0.0019556706169787663,1.0018803443922555,1.0056410309446304,0.0019455277464421254,1.0000101428705368,1.0142870536800075e-05,ok
central_naive,2,6,0.015625,0.00390625,1.0000025431334336,2.543133433619005e-06,2.00000331233924,2.0000165059782526,2.543102424152093e-06,1.0000000000310094,3.100941725620032e-11,ok
central_stable,2,6,0.015625,0.00390625,1.0000025431334507,2.5431334507164394e-06,2.000003302041704,2.0000165103134884,2.543102406857596e-06,1.000000000031044,3.104405621456863e-11,ok
forward_naive,1,7,0.0078125,0.001953125,1.0009771985934321,0.0009771985934321492,1.0009397132879285,1.0028191396693877,0.0009746591779270182,1.000002539415505,2.5394155049873746e-06,ok
forward_stable,1,7,0.0078125,0.001953125,1.0009771985934397,0.0009771985934396987,1.0009397132972577,1.0028191396128017,0.0009746591780234536,1.0000025394154164,2.539415416391577e-06,ok
central_naive,2,7,0.0078125,0.001953125,1.0000006357829818,6.357829818171012e-07,2.0000008545384036,2.0000041316046078,6.357810562555573e-07,1.0000000000019256,1.9255708139098715e-12,ok
central_stable,2,7,0.0078125,0.001953125,1.000000635782999,6.357829989145358e-07,2.000000825440752,2.0000041275737797,6.357810586240149e-07,1.0000000000019404,1.9404478024398486e-12,ok
forward_naive,1,8,0.00390625,0.0009765625,1.0004884402344487,0.0004884402344487171,1.0004697421936715,1.0014092255878093,0.0004878049169871486,1.0000006353174613,6.35317461306073e-07,ok
forward_stable,1,8,0.00390625,0.0009765625,1.0004884402345322,0.0004884402345322059,1.0004697419582185,1.001409225841756,0.00048780491673979583,1.0000006353177922,6.353177921525344e-07,ok
central_naive,2,8,0.00390625,0.0009765625,1.0000001589456815,1.589456815054291e-07,2.0000005804414682,2.0000009459039876,1.5894562782009947e-07,1.0000000000000535,5.3512749786932545e-14,ok
central_stable,2,8,0.00390625,0.0009765625,1.000000158945727,1.589457270245731e-07,2.000000206076843,2.00000103189529,1.5894560571434851e-07,1.0000000000001215,1.2145839889399213e-13,ok
forward_naive,1,9,0.001953125,0.00048828125,1.0002441803662805,0.00024418036628048867,1.0002348420677507,1.0007045276424904,0.00024402147840926587,1.000000158887871,1.5888787108231384e-07,ok
forward_stable,1,9,0.001953125,0.00048828125,1.000244180366281,0.00024418036628093276,1.000234842311726,1.0007045269278414,0.00024402147873386697,1.000000158887547,1.5888754689719065e-07,ok
central_naive,2,9,0.001953125,0.00048828125,1.000000039736392,3.973639195464784e-08,2.0000010318965202,2.0000004299565632,3.973641406042812e-08,0.9999999999999778,2.220446049250313e-14,ok
central_stable,2,9,0.001953125,0.00048828125,1.0000000397364304,3.9736430368364495e-08,2.0000000503855406,2.0000002579739378,3.973642274483532e-08,1.0000000000000078,7.771561172376096e-15,ok
forward_naive,1,10,0.0009765625,0.000244140625,1.0001220802469106,0.00012208024691062747,1.0001174175693455,1.0003522379003214,0.00012204051904806816,1.0000000397278626,3.972786255523886e-08,ok
forward_stable,1,10,0.0009765625,0.000244140625,1.0001220802472137,0.00012208024721371835,1.0001174139901636,1.0003522419667914,0.00012204051805775501,1.0000000397291562,3.972915618710715e-08,ok
central_naive,2,10,0.0009765625,0.000244140625,1.0000000099339559,9.933955880114809e-09,2.000020638085401,1.9999944965656695,9.934195885918105e-09,0.9999999999997601,2.3991919562149633e-13,ok
central_stable,2,10,0.0009765625,0.000244140625,1.0000000099341075,9.934107536579972e-09,2.000000008061687,2.000000064493492,9.934107018475927e-09,1.0000000000000007,6.661338147750939e-16,ok
forward_naive,1,11,0.00048828125,0.0001220703125,1.0000610376391705,6.103763917053584e-05,1.000058717742734,1.0001761102301105,6.1027707488392385e-05,1.000000009931682,9.931681921315771e-09,ok
forward_stable,1,11,0.00048828125,0.0001220703125,1.0000610376398527,6.103763985265687e-05,1.0000587052018224,1.0001761156122209,6.102770665417108e-05,1.0000000099331983,9.933198263922804e-09,ok
central_naive,2,11,0.00048828125,0.0001220703125,1.0000000024833753,2.4833752831909806e-09,2.000066043857316,2.0000055034343305,2.4835142338346673e-09,0.9999999999998611,1.3888890038060708e-13,ok
