h,sigma,rho,n_samples,n_trials,seed,empirical_mean,empirical_bias,empirical_variance,empirical_random_std,empirical_rmse,theoretical_bias,theoretical_variance,theoretical_random_std,theoretical_rmse
0.005623413251903491,0.001,0.0,100,2000,20260738,1.0000740921283398,7.409212833975332e-05,0.00015870013210580338,0.012597624065902403,0.012597841948099098,5.2704711002160565e-06,0.00015811388300841897,0.012574334296829354,0.012574335401375477
0.006683439175686149,0.001,0.0,100,2000,20260739,1.000108826330558,0.00010882633055797619,0.00010981561368032545,0.010479294522071867,0.01047985958162361,7.444743163054213e-06,0.00011193605692841689,0.010579983786774765,0.010579986406069606
0.007943282347242814,0.001,0.0,100,2000,20260740,1.0001108189083776,0.00011081890837760788,7.810591553392708e-05,0.00883775511846346,0.008838449884701564,1.0515988916992569e-05,7.92446596230557e-05,0.008901946956877226,0.008901953168214186
0.009440608762859235,0.001,0.0,100,2000,20260741,0.9997797496602289,-0.00022025033977113306,5.748291131924228e-05,0.0075817485660790865,0.007584947035504703,1.4854248496343203e-05,5.6100922715098144e-05,0.007490054920699723,0.007490069650129866
0.011220184543019636,0.001,0.0,100,2000,20260742,0.9999520457011146,-4.795429888537761e-05,3.981044440259065e-05,0.0063095518384898505,0.006309734068672961,2.098222227142621e-05,3.971641173621406e-05,0.0063020958209324355,0.006302130749981748
0.01333521432163324,0.001,0.0,100,2000,20260743,0.9999876787235572,-1.2321276442794904e-05,2.824469092158698e-05,0.005314573446814615,0.005314587729583563,2.963825369151074e-05,2.811706625951745e-05,0.005302552805915039,0.005302635635756933
0.015848931924611134,0.001,0.0,100,2000,20260744,0.9998914883493741,-0.00010851165062586432,2.1180704773983277e-05,0.004602249968654819,0.00460352903241685,4.186529965943819e-05,1.990535852767486e-05,0.004461542169214011,0.004461738588374541
0.018836490894898,0.001,0.0,100,2000,20260745,1.0000716245123746,7.162451237463507e-05,1.3817073996918122e-05,0.0037171324965513566,0.0037178224900727866,5.9136613985710795e-05,1.4091914656322278e-05,0.003753919905421835,0.0037543856748389576
0.0223872113856834,0.001,0.0,100,2000,20260746,1.0001204812012612,0.00012048120126118,9.526258056944875e-06,0.003086463681455668,0.0030888142995010603,8.353329886823246e-05,9.976311574844395e-06,0.0031585299705471207,0.0031596343755036283
0.0266072505979881,0.001,0.0,100,2000,20260747,1.0000470205035636,4.7020503563643956e-05,6.892323286185283e-06,0.00262532346315369,0.0026257445066001123,0.00011799514069466,7.06268772311377e-06,0.0026575717719590887,0.0026601899511766677
0.03162277660168379,0.001,0.0,100,2000,20260748,1.0002027512783536,0.00020275127835356344,5.009875281439904e-06,0.002238275068314863,0.0022474392900174046,0.00016667500019829085,5.000000000000001e-06,0.00223606797749979,0.002242271293954213
0.037583740428844416,0.001,0.0,100,2000,20260749,1.000267292929244,0.0002672929292439896,3.415733600657093e-06,0.0018481703386476836,0.00186739902288744,0.00023543955184890386,3.5397289219206896e-06,0.0018814167326567206,0.0018960909009052025
0.0446683592150963,0.001,0.0,100,2000,20260750,1.0003454053165692,0.0003454053165692361,2.6158593912557802e-06,0.001617361861568332,0.0016538331910958164,0.0003325768963351461,2.5059361681363625e-06,0.0015830148982673418,0.0016175733554037914
0.053088444423098846,0.001,0.0,100,2000,20260751,1.000504864170888,0.0005048641708880197,1.8294874267205438e-06,0.0013525854600432994,0.0014437365610688595,0.0004697966870057524,1.7740669461678767e-06,0.0013319410445541036,0.0014123653469585897
0.06309573444801933,0.001,0.0,100,2000,20260752,1.0006032378363632,0.0006032378363631796,1.2671771453799636e-06,0.0011256896310173439,0.0012771346963418376,0.0006636440378748887,1.2559432157547899e-06,0.0011206887238456493,0.0013024463999572792
0.07498942093324558,0.001,0.0,100,2000,20260753,1.0009040931059685,0.0009040931059685064,8.823212266771781e-07,0.0009393195551446686,0.0013037275677598068,0.0009374991004083011,8.891397050194616e-07,0.0009429420475402831,0.0013296782574314116
0.08912509381337455,0.001,0.0,100,2000,20260754,1.0012935049042095,0.0012935049042095415,5.770191417796313e-07,0.0007596177603108232,0.0015000580252088785,0.0013244062884472108,6.294627058970837e-07,0.0007933868576533668,0.0015438635700007952
0.10592537251772886,0.001,0.0,100,2000,20260755,1.001859263021455,0.0018592630214548933,4.428937721397889e-07,0.0006655026462304932,0.0019747791661574574,0.001871080141988779,4.4562546906687296e-07,0.0006675518474746909,0.0019865966794524806
0.12589254117941676,0.001,0.0,100,2000,20260756,1.0026594868440144,0.0026594868440144026,3.083336798299665e-07,0.0005552780203015121,0.002716837123074427,0.0026435826828639097,3.1547867224009643e-07,0.0005616748812614789,0.0027025928426934833
0.1496235656094433,0.001,0.0,100,2000,20260757,1.0037156350050453,0.003715635005045348,2.1900303946366335e-07,0.0004679776057288034,0.003744989523374175,0.003735380684813494,2.233417960754817e-07,0.00047259051627755044,0.0037651574544171735
0.1778279410038923,0.001,0.0,100,2000,20260758,1.0052884292541613,0.0052884292541612865,1.568477635374024e-07,0.00039604010344585356,0.005303237854349591,0.005278802377397529,1.5811388300841893e-07,0.0003976353643835253,0.005293757495638256
0.21134890398366477,0.001,0.0,100,2000,20260759,1.0074734402144507,0.007473440214450733,1.1100388433750321e-07,0.0003331724543498505,0.007480863086790707,0.0074613714163329625,1.1193605692841689e-07,0.00033456846373861493,0.0074688686873849225
0.25118864315095796,0.001,0.0,100,2000,20260760,1.010551234424772,0.010551234424772016,7.894152248585681e-08,0.00028096534036399723,0.010554974628533074,0.010549181221599646,7.924465962305569e-08,0.00028150427993736736,0.010552936515765348
0.298538261891796,0.001,0.0,100,2000,20260761,1.0149206386482696,0.014920638648269646,5.904877134190258e-08,0.00024299952950963214,0.014922617278600184,0.01492051696123875,5.610092271509816e-08,0.00023685633349162982,0.014922396835405777
0.3548133892335753,0.001,0.0,100,2000,20260762,1.0211229557714816,0.0211229557714816,3.915407146240998e-08,0.00019787387766557256,0.021123882564420462,0.021114561207655758,3.97164117362141e-08,0.00019928976826775154,0.021115501684865968
0.4216965034285822,0.001,0.0,100,2000,20260763,1.0299040505495904,0.029904050549590444,2.8154174672617856e-08,0.00016779205783533932,0.0299045212877105,0.02990263182245223,2.811706625951746e-08,0.00016768144280008285,0.02990310196242845
0.5011872336272725,0.001,0.0,100,2000,20260764,1.042394970168896,0.04239497016889593,2.0052471101716462e-08,0.00014160674807973123,0.04239520666411099,0.042393727270768844,1.9905358527674848e-08,0.00014108635131604633,0.04239396203785225
0.5956621435290104,0.001,0.0,100,2000,20260765,1.0601960900236445,0.060196090023644455,1.441804741624452e-08,0.00012007517402129601,0.06019620978252801,0.060193575968383595,1.4091914656322274e-08,0.00011870937054976862,0.06019369302324143
0.707945784384138,0.001,0.0,100,2000,20260766,1.0856480618295048,0.0856480618295048,1.0492075475902116e-08,0.0001024308326428235,0.08564812308057981,0.08564959764597346,9.976311574844395e-09,9.988148764833449e-05,0.08564965588505723
0.8413951416451948,0.001,0.0,100,2000,20260767,1.122238869021135,0.1222388690211349,7.367929680640213e-09,8.58366453249439e-05,0.12223889915855686,0.12223862051005363,7.062687723113775e-09,8.403979844760324e-05,0.12223864939898767
1.0,0.001,0.0,100,2000,20260768,1.1751991610546673,0.17519916105466726,4.946690502167886e-09,7.033271288787235e-05,0.1751991751720016,0.17520119364380138,5e-09,7.071067811865475e-05,0.17520120791310997
